Movie,Genre,TotalRating,WatchCount
Avatar,Action Adventure Fantasy Science Fiction,72.0,10
Pirates of the Caribbean: At World's End,Adventure Fantasy Action,69.0,10
Spectre,Action Adventure Crime,63.0,10
The Dark Knight Rises,Action Crime Drama Thriller,76.0,10
John Carter,Action Adventure Science Fiction,61.0,10
Spider-Man 3,Fantasy Action Adventure,59.0,10
Tangled,Animation Family,74.0,10
Avengers: Age of Ultron,Action Adventure Science Fiction,73.0,10
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,74.0,10
Batman v Superman: Dawn of Justice,Action Adventure Fantasy,57.0,10
Superman Returns,Adventure Fantasy Action Science Fiction,54.0,10
Quantum of Solace,Adventure Action Thriller Crime,61.0,10
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,70.0,10
The Lone Ranger,Action Adventure Western,59.0,10
Man of Steel,Action Adventure Fantasy Science Fiction,65.0,10
The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,63.0,10
The Avengers,Science Fiction Action Adventure,74.0,10
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,64.0,10
Men in Black 3,Action Comedy Science Fiction,62.0,10
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,71.0,10
The Amazing Spider-Man,Action Adventure Fantasy,65.0,10
Robin Hood,Action Adventure,62.0,10
The Hobbit: The Desolation of Smaug,Adventure Fantasy,76.0,10
The Golden Compass,Adventure Fantasy,58.0,10
King Kong,Adventure Drama Action,66.0,10
Titanic,Drama Romance Thriller,75.0,10
Captain America: Civil War,Adventure Action Science Fiction,71.0,10
Battleship,Thriller Action Adventure Science Fiction,55.0,10
Jurassic World,Action Adventure Science Fiction Thriller,65.0,10
Skyfall,Action Adventure Thriller,69.0,10
Spider-Man 2,Action Adventure Fantasy,67.0,10
Iron Man 3,Action Adventure Science Fiction,68.0,10
Alice in Wonderland,Family Fantasy Adventure,64.0,10
X-Men: The Last Stand,Adventure Action Science Fiction Thriller,63.0,10
Monsters University,Animation Family,70.0,10
Transformers: Revenge of the Fallen,Science Fiction Action Adventure,60.0,10
Transformers: Age of Extinction,Science Fiction Action Adventure,58.0,10
Oz: The Great and Powerful,Fantasy Adventure Family,57.0,10
The Amazing Spider-Man 2,Action Adventure Fantasy,65.0,10
TRON: Legacy,Adventure Action Science Fiction,63.0,10
Cars 2,Animation Family Adventure Comedy,58.0,10
Green Lantern,Adventure Action Thriller Science Fiction,51.0,10
Toy Story 3,Animation Family Comedy,76.0,10
Terminator Salvation,Action Science Fiction Thriller,59.0,10
Furious 7,Action,73.0,10
World War Z,Action Drama Horror Science Fiction Thriller,67.0,10
X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,75.0,10
Star Trek Into Darkness,Action Adventure Science Fiction,74.0,10
Jack the Giant Slayer,Action Family Fantasy,55.0,10
The Great Gatsby,Drama Romance,73.0,10
Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,62.0,10
Pacific Rim,Action Science Fiction Adventure,67.0,10
Transformers: Dark of the Moon,Action Science Fiction Adventure,61.0,10
Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,57.0,10
The Good Dinosaur,Adventure Animation Family,66.0,10
Brave,Animation Adventure Comedy Family Action,67.0,10
Star Trek Beyond,Action Adventure Science Fiction,66.0,10
WALL·E,Animation Family,78.0,10
Rush Hour 3,Action Comedy Crime Thriller,61.0,10
2012,Action Adventure Science Fiction,56.0,10
A Christmas Carol,Animation Drama,66.0,10
Jupiter Ascending,Science Fiction Fantasy Action Adventure,52.0,10
The Legend of Tarzan,Action Adventure,55.0,10
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,67.0,10
X-Men: Apocalypse,Science Fiction,64.0,10
The Dark Knight,Drama Action Crime Thriller,82.0,10
Up,Animation Comedy Family Adventure,77.0,10
Monsters vs Aliens,Animation Family Adventure Science Fiction,60.0,10
Iron Man,Action Science Fiction Adventure,74.0,10
Hugo,Adventure Drama Family,70.0,10
Wild Wild West,Action Adventure Comedy Science Fiction Western,51.0,10
The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,52.0,10
Suicide Squad,Action Adventure Crime Fantasy Science Fiction,59.0,10
Evan Almighty,Fantasy Comedy Family,53.0,10
Edge of Tomorrow,Action Science Fiction,76.0,10
Waterworld,Adventure Action,59.0,10
G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,56.0,10
Inside Out,Drama Comedy Animation Family,80.0,10
The Jungle Book,Family Adventure Drama Fantasy,67.0,10
Iron Man 2,Adventure Action Science Fiction,66.0,10
Snow White and the Huntsman,Adventure Fantasy Drama,58.0,10
Maleficent,Fantasy Adventure Action Family Romance,70.0,10
Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,73.0,10
The Lovers,Action Adventure Science Fiction Romance,48.0,10
47 Ronin,Drama Action Adventure Fantasy,59.0,10
Captain America: The Winter Soldier,Action Adventure Science Fiction,76.0,10
Shrek Forever After,Comedy Adventure Fantasy Animation Family,60.0,10
Tomorrowland,Adventure Family Mystery Science Fiction,62.0,10
Big Hero 6,Adventure Family Animation Action Comedy,85.7,11
Wreck-It Ralph,Family Animation Comedy Adventure,71.0,10
The Polar Express,Adventure Animation Family Fantasy,64.0,10
Independence Day: Resurgence,Action Adventure Science Fiction,49.0,10
How to Train Your Dragon,Fantasy Adventure Animation Family,75.0,10
Terminator 3: Rise of the Machines,Action Thriller Science Fiction,59.0,10
